Date,Description,Type,Primary Category,Sub Category,Vendor,Tax/Reason,Note,Amount,,
09/13/23,STARBUCKS STORE 20274,DEBIT,,,,,,-12.7,,
09/13/23,STICHIC,DEBIT,,,,,,-26.92,,
09/12/23,CAFE BERNARDO PAVILION,DEBIT,,,,,,-82.4,,
09/12/23,NUGGET MARKET #6,DEBIT,,,,,,-68.75,,
09/10/23,TST* Mizuki Sushi Elk,DEBIT,,,,,,-71.22,,
09/09/23,"PERFECT SUPPLEMENTS, L",DEBIT,,,,,,-101.52,,
09/08/23,NUGGET MARKET #6,DEBIT,,,,,,-145.38,,
09/08/23,NUGGET MARKET #6,DEBIT,,,,,,-40.51,,
09/08/23,STARBUCKS STORE 05499,DEBIT,,,,,,-23.95,,
09/06/23,BURGER KING #17484 Q07,DEBIT,,,,,,-25.82,,
09/06/23,SDH-CAFE' CAF,DEBIT,,,,,,-7.03,,
09/05/23,PAPA MURPHY'S CA227,DEBIT,,,,,,-15.99,,
09/05/23,TARGET        00022681,DEBIT,,,,,,-250.63,,
09/02/23,CHEVRON 0376769,DEBIT,,,,,,-54.31,,
09/02/23,NUGGET MARKET #6,DEBIT,,,,,,-160.68,,
09/01/23,76 - DAVIS 76,DEBIT,,,,,,-90.52,,
09/01/23,BURGER KING #17484 Q07,DEBIT,,,,,,-22.26,,
09/01/23,TST* Mizuki Sushi Elk,DEBIT,,,,,,-70.41,,
08/31/23,STARBUCKS STORE 10349,DEBIT,,,,,,-12.25,,
08/30/23,PANDA EXPRESS #849,DEBIT,,,,,,-41.73,,
08/30/23,STARBUCKS STORE 13400,DEBIT,,,,,,-31.6,,
08/28/23,CRUMBL* WESTSACRAMENTO,DEBIT,,,,,,-14.98,,
08/26/23,HALFPRICEBOOKS-122,DEBIT,,,,,,-23.08,,
08/26/23,PANERA BREAD #202208 P,DEBIT,,,,,,-18.14,,
08/25/23,7-ELEVEN 34671,DEBIT,Automotive,Gas,,,,-75.25,,
08/25/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-599.93,,
08/25/23,STARBUCKS STORE 05499,DEBIT,,,,,,-35.8,,
08/24/23,NUGGET MARKET #6,DEBIT,,,,,,-101.81,,
08/24/23,Payment Received,CREDIT,,,,,,5223.82,,
08/24/23,ROMANS PIZZA,DEBIT,,,,,,-51.68,,
08/21/23,CRAZY GOOD BAKER & CAF,DEBIT,,,,,,-33.06,,
08/21/23,INTEREST CHARGE-PURCHASES,DEBIT,,,,,,-45.19,,
08/20/23,SAFEWAY #1824,DEBIT,,,,,,-33.25,,
08/20/23,SAFEWAY #1824,DEBIT,,,,,,-3.55,,
08/20/23,SP TOYS AND TREASURE,DEBIT,,,,,,-25.51,,
08/20/23,THE GIFTING TREE,DEBIT,,,,,,-14.13,,
08/20/23,VILLAGE TOYS,DEBIT,,,,,,-16.26,,
08/19/23,RALEY S #127,DEBIT,,,,,,-26.1,,
08/18/23,IN N OUT BURGER 139,DEBIT,,,,,,-44.6,,
08/17/23,ORKIN  LLC 002,DEBIT,,,,,,-53,,
08/15/23,ROSEVILLE GROCERY OU,DEBIT,,,,,,-299.65,,
08/15/23,SQ *FALLING PRICES CIT,DEBIT,,,,,,-129.3,,
08/14/23,CHEVRON 0376769,DEBIT,,,,,,-91.41,,
08/14/23,ROMANS PIZZA,DEBIT,,,,,,-32.45,,
08/13/23,CHEVRON 0376769,DEBIT,,,,,,-100,,
08/13/23,TARGET        00022681,DEBIT,,,,,,-140.11,,
08/11/23,BAKER BENS DONUTS,DEBIT,,,,,,-24.36,,
